qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
3195,11,9,2,5,10,1:38.806,1:38.747,1:40.512
3196,11,2,2,6,11,1:39.032,1:38.826,\N
3197,11,16,10,20,12,1:39.145,1:38.846,\N
3198,11,10,7,10,13,1:39.459,1:38.991,\N
3199,11,154,4,8,14,1:39.322,1:39.040,\N
3200,11,67,5,12,15,1:38.912,1:39.514,\N
3201,11,21,10,21,16,1:39.531,\N,\N
3202,11,6,3,17,17,1:39.795,\N,\N
3203,11,15,7,9,18,1:39.807,\N,\N
3204,11,153,5,11,19,1:39.925,\N,\N
3205,11,69,6,3,20,1:41.413,\N,\N
3206,12,21,10,21,1,1:45.102,1:44.667,1:46.308
3207,12,15,7,9,2,1:45.140,1:44.503,1:46.395
3208,12,2,2,6,3,1:45.566,1:44.709,1:46.500
3209,12,22,23,23,4,1:45.237,1:44.834,1:46.513
3210,12,9,2,5,5,1:45.655,1:44.557,1:46.586
3211,12,8,6,4,6,1:45.579,1:44.953,1:46.633
3212,12,10,7,10,7,1:45.450,1:44.877,1:46.677
3213,12,20,9,15,8,1:45.372,1:44.592,1:46.761
3214,12,17,9,14,9,1:45.350,1:44.924,1:46.788
3215,12,3,3,16,10,1:45.486,1:45.047,1:47.362
3216,12,16,10,20,11,1:45.239,1:45.119,\N
3217,12,1,1,1,12,1:45.767,1:45.122,\N
3218,12,4,4,7,13,1:45.707,1:45.136,\N
3219,12,18,23,22,14,1:45.761,1:45.251,\N
3220,12,5,1,2,15,1:45.705,1:45.259,\N
3221,12,67,5,12,16,1:45.951,\N,\N
3222,12,153,5,11,17,1:46.302,\N,\N
3223,12,6,3,17,18,1:46.307,\N,\N
3224,12,154,4,8,19,1:46.359,\N,\N
3225,12,69,6,3,20,1:46.957,\N,\N
3226,13,1,1,1,1,1:23.375,1:22.973,1:24.066
3227,13,16,10,20,2,1:23.576,1:23.070,1:24.261
3228,13,8,6,4,3,1:23.349,1:23.426,1:24.523
3229,13,5,1,2,4,1:23.515,1:23.528,1:24.845
3230,13,22,23,23,5,1:23.483,1:22.976,1:25.015
3231,13,18,23,22,6,1:23.403,1:22.955,1:25.030
3232,13,24,10,21,7,1:23.578,1:23.207,1:25.043
3233,13,4,4,7,8,1:23.708,1:23.497,1:25.072
3234,13,20,9,15,9,1:23.558,1:23.545,1:25.180
3235,13,17,9,14,10,1:23.755,1:23.273,1:25.314
3236,13,15,7,9,11,1:24.014,1:23.611,\N
3237,13,154,4,8,12,1:23.975,1:23.728,\N
3238,13,9,2,5,13,1:24.001,1:23.866,\N
3239,13,21,6,3,14,1:23.828,1:23.901,\N
3240,13,2,2,6,15,1:23.584,1:24.275,\N
3241,13,10,7,10,16,1:24.036,\N,\N
3242,13,6,3,17,17,1:24.074,\N,\N
3243,13,3,3,16,18,1:24.121,\N,\N
3244,13,67,5,12,19,1:24.220,\N,\N
3245,13,153,5,11,20,1:24.951,\N,\N
3246,14,1,1,1,1,1:46.977,1:46.657,1:47.891
3247,14,20,9,15,2,1:47.541,1:46.362,1:48.204
3248,14,3,3,16,3,1:47.390,1:46.197,1:48.348
3249,14,17,9,14,4,1:47.646,1:46.328,1:48.722
3250,14,22,23,23,5,1:47.397,1:46.787,1:48.828
3251,14,4,4,7,6,1:47.757,1:46.767,1:49.054
3252,14,10,7,10,7,1:47.770,1:46.707,1:49.180
3253,14,2,2,6,8,1:47.347,1:46.832,1:49.307
3254,14,9,2,5,9,1:47.615,1:46.813,1:49.514
3255,14,5,1,2,10,1:47.542,1:46.842,1:49.778
3256,14,6,3,17,11,1:47.637,1:47.013,\N
3257,14,18,23,22,12,1:47.180,1:47.141,\N
3258,14,8,6,4,13,1:47.293,1:47.177,\N
3259,14,67,5,12,14,1:47.677,1:47.369,\N
3260,14,15,7,9,15,1:47.690,1:47.413,\N
3261,14,16,10,20,16,1:48.231,\N,\N
3262,14,153,5,11,17,1:48.340,\N,\N
3263,14,21,6,3,18,1:48.350,\N,\N
3264,14,154,4,8,19,1:48.544,\N,\N
3265,14,24,10,21,20,1:48.792,\N,\N
3266,15,20,9,15,1,1:30.883,1:30.341,1:32.160
3267,15,15,7,9,2,1:31.063,1:30.737,1:32.220
3268,15,1,1,1,3,1:30.917,1:30.627,1:32.395
3269,15,16,10,20,4,1:31.386,1:31.222,1:32.466
3270,15,22,23,23,5,1:31.272,1:31.055,1:32.660
3271,15,2,2,6,6,1:31.501,1:31.260,1:32.945
3272,15,18,23,22,7,1:31.041,1:30.880,1:32.962
3273,15,8,6,4,8,1:31.288,1:31.052,1:32.980
3274,15,5,1,2,9,1:31.499,1:31.223,\N
3275,15,67,5,12,10,1:31.196,1:31.103,\N
3276,15,3,3,16,11,1:31.286,1:31.482,\N
3277,15,4,4,7,12,1:31.401,1:31.638,\N
3278,15,9,2,5,13,1:31.417,1:32.341,\N
