qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
6409,931,826,9,26,5,1:16.845,1:16.453,1:16.182
6410,931,8,6,7,6,1:17.660,1:16.440,1:16.427
6411,931,815,10,11,7,1:17.376,1:16.999,1:16.808
6412,931,832,5,55,8,1:17.246,1:16.762,1:16.931
6413,931,813,208,13,9,1:17.630,1:16.775,1:16.946
6414,931,830,5,33,10,1:16.750,1:16.546,1:16.957
6415,931,154,208,8,11,1:17.767,1:17.007,\N
6416,931,18,1,22,12,1:17.492,1:17.093,\N
6417,931,807,10,27,13,1:17.552,1:17.193,\N
6418,931,13,3,19,14,1:17.679,1:17.278,\N
6419,931,4,1,14,15,1:17.778,1:26.632,\N
6420,931,831,15,12,16,1:18.101,\N,\N
6421,931,822,3,77,17,1:18.434,\N,\N
6422,931,828,15,9,18,1:18.513,\N,\N
6423,931,829,209,28,19,1:20.655,\N,\N
6424,931,833,209,98,20,1:20.904,\N,\N
6425,932,1,131,44,1,1:15.895,1:14.661,1:14.393
6426,932,3,131,6,2,1:15.893,1:14.673,1:14.702
6427,932,8,6,7,3,1:16.259,1:15.348,1:15.014
6428,932,822,3,77,4,1:16.552,1:15.506,1:15.102
6429,932,154,208,8,5,1:15.833,1:15.187,1:15.194
6430,932,813,208,13,6,1:16.098,1:15.622,1:15.329
6431,932,807,10,27,7,1:16.186,1:15.706,1:15.614
6432,932,826,9,26,8,1:16.415,1:15.891,1:16.079
6433,932,817,9,3,9,1:16.410,1:16.006,1:16.114
6434,932,815,10,11,10,1:16.827,1:15.974,1:16.338
6435,932,832,5,55,11,1:16.611,1:16.042,\N
6436,932,830,5,33,12,1:16.361,1:16.245,\N
6437,932,828,15,9,13,1:16.796,1:16.262,\N
6438,932,4,1,14,14,1:17.012,1:16.276,\N
6439,932,831,15,12,15,1:16.968,1:16.620,\N
6440,932,20,6,5,16,1:17.344,\N,\N
6441,932,13,3,19,17,1:17.886,\N,\N
6442,932,833,209,98,18,1:19.133,\N,\N
6443,932,829,209,28,19,1:19.157,\N,\N
6444,933,1,131,44,1,1:12.218,1:09.062,1:08.455
