resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
8616,375,131,44,33,0,\N,E,31,0,0,\N,\N,\N,\N,\N,\N,96
8617,376,102,1,12,1,1,1,1,9,69,1:39:46.618,5986618,\N,\N,\N,\N,1
8618,376,117,1,11,2,2,2,2,6,69,+5.934,5992552,\N,\N,\N,\N,1
8619,376,123,22,20,7,3,3,3,4,69,+51.409,6038027,\N,\N,\N,\N,1
8620,376,137,32,1,6,4,4,4,3,68,\N,\N,\N,\N,\N,\N,11
8621,376,122,37,16,14,5,5,5,2,68,\N,\N,\N,\N,\N,\N,11
8622,376,156,25,3,19,6,6,6,1,67,\N,\N,\N,\N,\N,\N,12
8623,376,118,21,17,16,7,7,7,0,67,\N,\N,\N,\N,\N,\N,12
8624,376,99,42,31,26,8,8,8,0,67,\N,\N,\N,\N,\N,\N,12
8625,376,110,48,22,12,9,9,9,0,66,\N,\N,\N,\N,\N,\N,60
8626,376,112,33,30,17,10,10,10,0,66,\N,\N,\N,\N,\N,\N,10
8627,376,138,32,2,13,11,11,11,0,66,\N,\N,\N,\N,\N,\N,13
8628,376,131,44,33,15,12,12,12,0,66,\N,\N,\N,\N,\N,\N,13
8629,376,159,18,24,21,13,13,13,0,64,\N,\N,\N,\N,\N,\N,15
8630,376,160,49,9,22,14,14,14,0,63,\N,\N,\N,\N,\N,\N,5
8631,376,127,37,15,18,\N,R,15,0,54,\N,\N,\N,\N,\N,\N,6
8632,376,166,39,14,10,\N,R,16,0,41,\N,\N,\N,\N,\N,\N,22
8633,376,163,27,25,20,\N,R,17,0,36,\N,\N,\N,\N,\N,\N,7
8634,376,105,6,27,4,\N,R,18,0,33,\N,\N,\N,\N,\N,\N,5
8635,376,119,3,6,11,\N,R,19,0,32,\N,\N,\N,\N,\N,\N,5
8636,376,158,21,18,8,\N,R,20,0,31,\N,\N,\N,\N,\N,\N,37
8637,376,95,3,5,9,\N,R,21,0,28,\N,\N,\N,\N,\N,\N,5
8638,376,140,27,26,25,\N,R,22,0,24,\N,\N,\N,\N,\N,\N,5
8639,376,77,6,28,3,\N,R,23,0,22,\N,\N,\N,\N,\N,\N,10
8640,376,145,22,19,5,\N,R,24,0,15,\N,\N,\N,\N,\N,\N,80
8641,376,165,44,32,24,\N,R,25,0,8,\N,\N,\N,\N,\N,\N,83
8642,376,141,25,4,23,\N,R,26,0,0,\N,\N,\N,\N,\N,\N,4
8643,376,167,18,23,0,\N,F,27,0,0,\N,\N,\N,\N,\N,\N,81
8644,376,78,45,21,0,\N,F,28,0,0,\N,\N,\N,\N,\N,\N,81
8645,376,114,33,29,0,\N,F,29,0,0,\N,\N,\N,\N,\N,\N,81
8646,376,146,49,10,0,\N,F,30,0,0,\N,\N,\N,\N,\N,\N,81
8647,376,133,35,36,0,\N,F,31,0,0,\N,\N,\N,\N,\N,\N,97
8648,377,102,1,12,1,1,1,1,9,63,1:54:56.035,6896035,\N,\N,\N,\N,1
8649,377,117,1,11,4,2,2,2,6,63,+38.713,6934748,\N,\N,\N,\N,1
8650,377,123,22,20,5,3,3,3,4,62,\N,\N,\N,\N,\N,\N,11
8651,377,110,48,22,12,4,4,4,3,62,\N,\N,\N,\N,\N,\N,11
8652,377,156,25,3,17,5,5,5,2,62,\N,\N,\N,\N,\N,\N,11
8653,377,94,18,23,16,6,6,6,1,62,\N,\N,\N,\N,\N,\N,11
8654,377,114,33,29,24,7,7,7,0,61,\N,\N,\N,\N,\N,\N,12
8655,377,133,35,36,21,8,8,8,0,61,\N,\N,\N,\N,\N,\N,12
8656,377,141,25,4,22,9,9,9,0,59,\N,\N,\N,\N,\N,\N,20
8657,377,159,18,24,25,\N,R,10,0,54,\N,\N,\N,\N,\N,\N,6
8658,377,112,33,30,14,\N,R,11,0,46,\N,\N,\N,\N,\N,\N,86
8659,377,131,44,33,19,\N,R,12,0,46,\N,\N,\N,\N,\N,\N,20
8660,377,105,6,27,3,\N,R,13,0,45,\N,\N,\N,\N,\N,\N,4
8661,377,163,27,25,20,\N,R,14,0,45,\N,\N,\N,\N,\N,\N,25
